,sex,ethnicity,age_range,var,intercept,slope,r_squared,std,count
168,female,white,all,FVC,-1.1365576901795236,0.03076896321683264,0.7377639437424783,0.8149930380680718,1517
169,female,white,all,MMEF,0.08366964387196285,0.002794847302807375,0.5324593298934657,1.1276600401342585,1517
170,female,white,all,PEFR,-0.8638953902453173,0.08711922116840445,0.5724966787034568,1.573017064678486,1517
171,female,white,under,EXPIR,2.0143115623211365,0.6827620033994809,0.009249661546761101,2.6355027380731926,409
172,female,white,under,FEF75,-0.8617494253251792,0.04226032277848994,0.45227162780297925,0.5952604724076901,409
173,female,white,under,FEV05,-0.9589664064773467,0.08303390518794555,0.8023534995642545,0.5334637350544518,409
174,female,white,under,FEV1,-0.9308004304260407,0.008572577799378872,0.8502952836940814,0.7206389292880232,409
175,female,white,under,FEV3,-0.7046117418988325,-0.05864060182850192,0.8559838096108,0.8103083056800584,409
176,female,white,under,FEV6,-0.6232275678507007,-0.06933937094610468,0.8502182882876911,0.8135702114296243,409
177,female,white,under,FVC,-0.6409982978459174,-0.06551427377361209,0.8503556951750132,0.8143970295655464,409
178,female,white,under,MMEF,-2.317350660708288,0.31924085945697944,0.5304271610749988,0.9690188855209112,409
179,female,white,under,PEFR,-3.7811530414315877,0.5004266948623999,0.7228311486194248,1.509322230986001,409
180,female,white,over,EXPIR,-0.032077216567168776,0.3289618616824446,0.15571393494139274,3.9432977834968908,1108
181,female,white,over,FEF75,2.1734244806233503,-0.05761000781211903,0.5867320399058924,0.6416195819277563,1108
182,female,white,over,FEV05,0.7625150119212201,0.005630757300447731,0.6846400327648319,0.5348104193150683,1108
183,female,white,over,FEV1,0.9297867219877283,-0.006849023696581502,0.752063617385234,0.71404132896376,1108
184,female,white,over,FEV3,0.6090956846717819,-0.0042312961600786715,0.7450610766814094,0.8044530738147039,1108
185,female,white,over,FEV6,0.28530113339582375,0.004839728471213355,0.7144056628935955,0.7964367821323928,1108
186,female,white,over,FVC,-0.00359901494738768,0.01197706557765881,0.6828848547579833,0.7806437186632633,1108
187,female,white,over,MMEF,3.290917883899352,-0.03209017763917424,0.5647250199256677,1.1647611534435465,1108
188,female,white,over,PEFR,1.8280984991460398,0.06141380439456073,0.498943922531881,1.5278276840498217,1108
189,female,mexican,all,EXPIR,4.4230900666566,0.1805420482221551,0.2580195883037686,3.6590450264058783,1562
190,female,mexican,all,FEF75,-0.29186023144875084,-0.02299419152882977,0.4114574980786917,0.6480440694721088,1562
191,female,mexican,all,FEV05,-0.5905358612396929,0.023401531268230517,0.6365482998906704,0.487924147159851,1562
192,female,mexican,all,FEV1,-0.967629825910929,0.021538756882625056,0.6975468036665293,0.6251734464441869,1562
193,female,mexican,all,FEV3,-1.2116614123140912,0.029323611999063436,0.700849866685967,0.7020367969269212,1562
194,female,mexican,all,FEV6,-1.2574406061438506,0.03367396729997039,0.6948524724617448,0.7101789442614049,1562
195,female,mexican,all,FVC,-1.2701632235587872,0.03525047753499502,0.6869581068185158,0.7091379135691173,1562
196,female,mexican,all,MMEF,-0.38248473456341436,0.023651855973749483,0.4296174446070252,1.033946814387007,1562
